subject_id,subject_id_ph1,z_no_trust,z_trust,z_no_answer,z_total_people,Invalid_Domain_or_Sender,Potent_Mal_Links,Spelling_or_Grammar,Appeal_to_Greed,Appeal_to_Urgency,Appeal_to_Authority,Other_Phishy_Findings,VeryTrustworthy,Trustworthy,Neither_Trust,Untrustworthy,VeryUntrustworthy,VeryAppealing,Appealing,NeitherAppealing,UnAppealing,VeryUnAppealing,malicious,SensitivityRate,VictimizationRate,FalsePositiveRate,SpecificityRate,url,maliciousness,Findings,Present Cue Types,Website Description,TrustWorthiness Rating,Visual Attractiveness Rating,response,BardSensitivityRate,BardVictimizationRate,BardFalsePositiveRate,BardSpecificityRate
52837263,52837263,2,11,2,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,1,1,0,5,6,2,0,True,0.15384615384615385,0.8461538461538461,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d8c33556-adda-46f4-a69c-94379b55a257.jpeg,True,Nothing Phishy Here,[],"This is a screenshot of an O2 website page, requesting user login.",Trustworthy,Neutral,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: This is a screenshot of an O2 website page, requesting user login.
TrustWorthiness Rating: Trustworthy
Visual Attractiveness Rating: Neutral
",0.0,1.0,,
52837265,52837265,11,4,0,15,3.0,0.0,13.0,2.0,1.0,0.0,7.0,0,1,3,4,7,0,0,3,7,5,True,0.7333333333333333,0.26666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/8a2e38d0-4651-4492-9617-b30e27f4e2e2.jpeg,True,Something's Phishy,['Invalid Domain or Sender'],"The website is a simple page with a list of links. The links are to various websites, including Microsoft Help, Comcast Business Contact, and HP Support. The links are all clickable and lead to the correct websites.",Very Untrustworthy,Very Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender']
Website Description: The website is a simple page with a list of links. The links are to various websites, including Microsoft Help, Comcast Business Contact, and HP Support. The links are all clickable and lead to the correct websites.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Very Visually Unattractive or Unappealing
",1.0,0.0,,
52837266,52837266,11,4,0,15,6.0,0.0,0.0,0.0,7.0,5.0,2.0,0,2,5,5,3,1,8,3,3,0,True,0.7333333333333333,0.26666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/448fae44-603c-49af-bc7f-60fd422ac585.jpeg,True,Nothing Phishy Here,[],"This is a screenshot of a website called WeTransfer. It shows a file ready to be downloaded and some details about it, like its name, size, and format.",Trustworthy,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: This is a screenshot of a website called WeTransfer. It shows a file ready to be downloaded and some details about it, like its name, size, and format.
TrustWorthiness Rating: Trustworthy
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,
52837268,52837268,14,1,0,15,12.0,0.0,6.0,1.0,2.0,4.0,4.0,1,1,2,10,1,1,5,9,0,0,True,0.9333333333333333,0.06666666666666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7579fec4-15ed-49bd-8541-6539807c14ad.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Potentially Malicious Link']","The image displays an error message on what appears to be the Adobe Document Cloud website. It claims the user's version of Adobe PDF Reader is outdated and cannot open a document.  The user is then prompted to click a button to ""View Document Online.""",Very Untrustworthy,Neutral,"{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link""
  ],
  ""Website Description"": ""The image displays an error message on what appears to be the Adobe Document Cloud website. It claims the user's version of Adobe PDF Reader is outdated and cannot open a document.  The user is then prompted to click a button to \""View Document Online.\"""",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}",1.0,0.0,,
52837269,52837269,11,3,1,14,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0,4,4,2,4,1,3,4,4,2,True,0.7857142857142857,0.21428571428571427,,,https://panoptes-uploads.zooniverse.org/production/subject_location/969421f0-deb8-407b-b170-11ca33d39ff0.jpeg,True,Something's Phishy,"['Potentially Malicious Link', 'Other Phishy Findings']","This appears to be a login page disguised as an Outlook web app. The URL in the address bar raises suspicion, as it does not correspond to the legitimate Outlook domain.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Potentially Malicious Link"",
  ""Other Phishy Findings""
 ],
 ""Website Description"": ""This appears to be a login page disguised as an Outlook web app. The URL in the address bar raises suspicion, as it does not correspond to the legitimate Outlook domain."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,
52837376,52837376,12,3,0,15,9.0,0.0,0.0,0.0,1.0,1.0,10.0,0,1,3,5,6,0,0,6,4,5,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d2365506-c0bc-486d-80a3-4745633eab78.jpeg,True,Nothing Phishy Here,[],It is a notification page telling the user that the form on AT&T SERVICE is no longer accepting responses.,Neutral,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Nothing Phishy Here"",
 ""Present Cue Types"": [],
 ""Website Description"": ""It is a notification page telling the user that the form on AT&T SERVICE is no longer accepting responses."",
 ""TrustWorthiness Rating"": ""Neutral"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",0.0,1.0,,
52837379,52837379,2,12,1,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,2,2,0,1,5,4,4,0,True,0.14285714285714285,0.8571428571428571,,,https://panoptes-uploads.zooniverse.org/production/subject_location/1f68305d-e461-455c-9fd4-14648b3b8242.jpeg,True,Nothing Phishy Here,[],"This is a screenshot of a website for a hotel called ""The New York House."" The site features a picture of the hotel, as well as sections on rooms and rates, wedding services, directions, and more. ",Neutral,Visually Unattractive or Unappealing,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: This is a screenshot of a website for a hotel called ""The New York House."" The site features a picture of the hotel, as well as sections on rooms and rates, wedding services, directions, and more. 
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Visually Unattractive or Unappealing 
",0.0,1.0,,
52837380,52837380,12,2,1,14,6.0,0.0,2.0,0.0,0.0,2.0,7.0,1,2,3,4,4,0,1,7,5,1,True,0.8571428571428571,0.14285714285714285,,,https://panoptes-uploads.zooniverse.org/production/subject_location/9da3879b-9542-4b12-a61c-5d2711ea95b2.jpeg,True,Something's Phishy,['Potentially Malicious Link'],The image shows an email notification from OneNote that a document has been shared. There is a button to download the document.,Very Untrustworthy,Neutral,"Findings: Something's Phishy
Present Cue Types: ['Potentially Malicious Link']
Website Description: The image shows an email notification from OneNote that a document has been shared. There is a button to download the document.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Neutral

Explanation:
The email notification itself doesn't contain any overt phishing cues like misspellings or urgent requests. However, the link in the address bar raises red flags:

* **Suspicious URL:** The link in the address bar is long, complex, and doesn't contain any recognizable domain name related to OneNote or OneDrive. This is a strong indicator of a phishing attempt.  Legitimate file-sharing links from reputable services usually have clear domain names and shorter, more understandable structures.

**Why this is Phishy:**

Phishers often try to disguise malicious links as legitimate ones. By using a long, convoluted URL, they hope to obfuscate the true destination of the link, making it more likely that a user will click on it without a second thought. 

**Recommendation:**

* **Never click on links from unknown or suspicious sources.** 
* **Hover over links** (without clicking) to preview the destination URL in your browser's status bar. If it looks suspicious, don't click it. 
* **Contact the supposed sender through a known legitimate channel** (like their official website or phone number) to verify the authenticity of the email. 
",1.0,0.0,,
52837381,52837381,10,6,0,16,8.0,0.0,3.0,1.0,0.0,0.0,8.0,2,3,6,3,2,4,7,3,2,0,True,0.625,0.375,,,https://panoptes-uploads.zooniverse.org/production/subject_location/b1fe6f03-3928-4aa0-96d3-ebcbafb6c92e.jpeg,True,Nothing Phishy Here,[],"The image shows the homepage of a website for a residential building called Landmark Residence. It features a large banner image of a swimming pool with people swimming, as well as several smaller images and text boxes providing information about the building and its amenities. ",Neutral,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image shows the homepage of a website for a residential building called Landmark Residence. It features a large banner image of a swimming pool with people swimming, as well as several smaller images and text boxes providing information about the building and its amenities. 
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,
52837383,52837383,9,6,0,15,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,3,6,4,0,1,5,2,7,True,0.6,0.4,,,https://panoptes-uploads.zooniverse.org/production/subject_location/69b7d78c-76d1-4eaf-9df1-24bbc3c31ffb.jpeg,True,Something's Phishy,['Potentially Malicious Link'],The image shows a truncated url that looks suspicious.,Very Untrustworthy,Very Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Potentially Malicious Link""
 ],
 ""Website Description"": ""The image shows a truncated url that looks suspicious."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Very Visually Unattractive or Unappealing""
}",1.0,0.0,,
52837385,52837385,13,1,1,14,9.0,0.0,1.0,0.0,6.0,5.0,7.0,0,0,2,8,4,0,0,5,7,2,True,0.9285714285714286,0.07142857142857142,,,https://panoptes-uploads.zooniverse.org/production/subject_location/5f9469d2-2caa-4ec5-b927-10ff48513c10.jpeg,True,Nothing Phishy Here,[],This is a screenshot of an email sharing a document through OneDrive.,Trustworthy,Neutral,"{
 ""Findings"": ""Nothing Phishy Here"",
 ""Present Cue Types"": [],
 ""Website Description"": ""This is a screenshot of an email sharing a document through OneDrive."",
 ""TrustWorthiness Rating"": ""Trustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}",0.0,1.0,,
52837387,52837387,14,1,0,15,8.0,0.0,4.0,0.0,10.0,6.0,9.0,0,2,1,5,7,1,2,7,4,1,True,0.9333333333333333,0.06666666666666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/a5abb631-de32-494b-ae55-236d0abaea98.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Other Phishy Findings']","The image is a screenshot of a webpage that is designed to look like a legitimate PayPal website. However, the URL in the address bar is not a valid PayPal URL. The webpage is asking for the user's personal information, such as their full name, address, phone number, and date of birth.",Very Untrustworthy,Untrustworthy,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender', 'Other Phishy Findings']
Website Description: The image is a screenshot of a webpage that is designed to look like a legitimate PayPal website. However, the URL in the address bar is not a valid PayPal URL. The webpage is asking for the user's personal information, such as their full name, address, phone number, and date of birth.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Untrustworthy
",1.0,0.0,,
52837388,52837388,6,7,2,13,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0,2,6,2,3,0,7,5,0,1,True,0.46153846153846156,0.5384615384615384,,,https://panoptes-uploads.zooniverse.org/production/subject_location/3c04bf55-8255-4336-bce0-8bff7fcaaca6.jpeg,True,Nothing Phishy Here,[],The image shows a website that sells yarn. The website is in Russian and has a clean and simple design. ,Neutral,Neutral,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image shows a website that sells yarn. The website is in Russian and has a clean and simple design. 
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Neutral 
",0.0,1.0,,
52837389,52837389,12,3,0,15,6.0,0.0,4.0,18.0,3.0,2.0,1.0,0,1,2,9,3,0,4,6,5,0,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7cabe5d8-c1bc-41c6-8fd6-104debbfdddc.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Appeal to Action - Greed', 'Appeal to Action - Urgency']",The image is of a website advertising cheap Delta Airlines flight tickets. The deals seem too good to be true and may be a phishing attempt.,Very Untrustworthy,Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender', 'Appeal to Action - Greed', 'Appeal to Action - Urgency']
Website Description: The image is of a website advertising cheap Delta Airlines flight tickets. The deals seem too good to be true and may be a phishing attempt.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Visually Unattractive or Unappealing
",1.0,0.0,,
52837390,52837390,15,0,0,15,12.0,0.0,0.0,0.0,2.0,1.0,22.0,0,0,0,6,9,0,2,3,7,3,True,1.0,0.0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/ead979fc-b43e-4d36-a112-f826e9f7e83a.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Other Phishy Findings']",This is a phishing attempt to steal user credentials by mimicking an AT&T login page.,Very Untrustworthy,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Other Phishy Findings""
 ],
 ""Website Description"": ""This is a phishing attempt to steal user credentials by mimicking an AT&T login page."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",1.0,0.0,,
52837392,52837392,13,2,0,15,4.0,0.0,7.0,0.0,0.0,1.0,20.0,1,2,1,8,3,0,1,12,2,0,True,0.8666666666666667,0.13333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/245d01c7-294d-488a-ac0a-7c779c1756b9.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Appeal to Action - Authority', 'Potentially Malicious Link', 'Other Phishy Findings']",This is a phishing website disguised as a Microsoft Document Sharing Platform. It requests users to enter their email address and password to view a document.,Very Untrustworthy,Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender', 'Appeal to Action - Authority', 'Potentially Malicious Link', 'Other Phishy Findings']
Website Description: This is a phishing website disguised as a Microsoft Document Sharing Platform. It requests users to enter their email address and password to view a document.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Visually Unattractive or Unappealing 

**Explanation:**

* **Invalid Domain or Sender:** The URL in the address bar doesn't look like a legitimate Microsoft domain. It's long, complex, and contains suspicious characters. 
* **Appeal to Action - Authority:** The use of ""Microsoft Document Sharing Platform"" and the Microsoft Excel logo are attempts to appear legitimate and trustworthy. 
* **Potentially Malicious Link:** The ""Submit"" button is likely linked to a malicious site that will steal the entered credentials.
* **Other Phishy Findings:** 
    * The statement ""© 2020 Excel Secured Online File"" seems off.  It should likely read ""© 2020 Microsoft Corporation"" if it were legitimate.
    * The language is somewhat vague and generic (""Simply login...to download file"").
    *  The ""Never give out your password"" warning is ironic, considering the entire purpose of the page is to trick you into doing exactly that.

**Visual Appeal:** The design is very basic and lacks the polish of a genuine Microsoft website. The color scheme is dull, and the overall layout is uninspired and unprofessional. 
",1.0,0.0,,
52837393,52837393,7,7,1,14,1.0,0.0,4.0,0.0,0.0,0.0,4.0,3,2,5,3,1,3,5,5,1,0,True,0.5,0.5,,,https://panoptes-uploads.zooniverse.org/production/subject_location/719a5fb2-fe64-4302-89f7-5d81075ae61c.jpeg,True,Nothing Phishy Here,[],This is a website about the paleo diet.,Neutral,Neutral,"{
 ""Findings"": ""Nothing Phishy Here"",
 ""Present Cue Types"": [],
 ""Website Description"": ""This is a website about the paleo diet."",
 ""TrustWorthiness Rating"": ""Neutral"",
 ""Visual Attractiveness Rating"": ""Neutral""
}",0.0,1.0,,
52837394,52837394,6,9,1,15,6.0,0.0,6.0,0.0,0.0,0.0,10.0,3,6,4,1,1,3,8,3,1,0,True,0.4,0.6,,,https://panoptes-uploads.zooniverse.org/production/subject_location/27c19dc5-f765-4a2c-a2d0-fc6ab18acca6.jpeg,True,Nothing Phishy Here,[],The image is a screenshot of a website selling Moncler jackets.,Neutral,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image is a screenshot of a website selling Moncler jackets.
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,
52837395,52837395,14,0,1,14,10.0,0.0,7.0,0.0,0.0,1.0,12.0,0,0,1,6,7,0,0,3,5,6,True,1.0,0.0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/db5bf850-e7b7-4f76-9d4f-844a996f7b26.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Other Phishy Findings']","The website is a simple phishing page disguised as an AT&T Yahoo login. It features a picture of a modern office and has fields for ""Email Address"" and ""Password,"" prompting users to input their credentials.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Other Phishy Findings""
 ],
 ""Website Description"": ""The website is a simple phishing page disguised as an AT&T Yahoo login. It features a picture of a modern office and has fields for \""Email Address\"" and \""Password,\"" prompting users to input their credentials."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,
52837396,52837396,12,3,0,15,11.0,0.0,2.0,0.0,0.0,0.0,1.0,0,1,4,4,6,0,0,4,8,3,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/c16cb30c-6ac3-435b-8294-a6ccd5279513.jpeg,True,Something's Phishy,['Invalid Domain or Sender'],The image shows a login page for an AT&T account.,Very Untrustworthy,Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender']
Website Description: The image shows a login page for an AT&T account.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Visually Unattractive or Unappealing
",1.0,0.0,,
